#tagged CSV –> tCSV
#this header contains information to mygdal algorithms
#delimiter=,
#has_header=True
#decimal_point=.
#x_field=longitude
#y_field=latitude
#from_date_field=from
#to_date_field=to
#class_field=class
#projection_wkt=PROJCS["WGS 84 / UTM zone 21N",GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-57],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AXIS["Easting",EAST],AXIS["Northing",NORTH],AUTHORITY["EPSG","32621"]]
#timeline_filepath=timeline_new.csv
#bands_filepaths=/dados/d2/rolf/STACK/ndvi.tif,/dados/d2/rolf/STACK/evi.tif
#bands_factors=10,10
"id","longitude","latitude","class","from","to"
0,610135.581826051,-1330787.94047401,"Forest",2007-09-01,2008-09-01
1,609807.471879247,-1331247.54881295,"Forest",2007-09-01,2008-09-01
2,610367.471723761,-1330788.79542232,"Forest",2007-09-01,2008-09-01
3,610415.569553892,-1330558.56513737,"Forest",2007-09-01,2008-09-01
4,610511.740613932,-1330098.10464546,"Forest",2007-09-01,2008-09-01
5,610599.361761723,-1330789.65216955,"Forest",2007-09-01,2008-09-01
6,611382.580340447,-1331483.78479206,"Forest",2007-09-01,2008-09-01
7,610927.439471391,-1330330.05105576,"Forest",2007-09-01,2008-09-01
8,609623.696483784,-1331016.46693023,"Forest",2007-09-01,2008-09-01
9,610087.475819985,-1331018.17098746,"Forest",2007-09-01,2008-09-01
10,610879.349809741,-1330560.2808711,"Forest",2007-09-01,2008-09-01
11,610271.251454514,-1331249.25602626,"Forest",2007-09-01,2008-09-01
12,610192.155817318,-1329405.70329365,"Forest",2007-09-01,2008-09-01
13,609991.239179116,-1331478.63208231,"Forest",2007-09-01,2008-09-01
14,610647.459611512,-1330559.42210493,"Forest",2007-09-01,2008-09-01
15,615181.911254863,-1325507.50686822,"Forest",2007-09-01,2008-09-01
16,610831.251940229,-1330790.51071572,"Forest",2007-09-01,2008-09-01
17,609855.586082086,-1331017.31805923,"Forest",2007-09-01,2008-09-01
18,609575.582301062,-1331246.69790562,"Forest",2007-09-01,2008-09-01
19,610039.361596966,-1331248.40151983,"Forest",2007-09-01,2008-09-01
20,610607.878863969,-1329637.64421647,"Forest",2007-09-01,2008-09-01
21,610319.365697777,-1331019.02571493,"Forest",2007-09-01,2008-09-01
22,610551.255715754,-1331019.88224165,"Forest",2007-09-01,2008-09-01
23,610559.813843143,-1329867.87441623,"Forest",2008-09-01,2009-09-01
24,609343.692862116,-1331245.84879784,"Forest",2008-09-01,2009-09-01
25,609295.5704947,-1331476.08002589,"Forest",2008-09-01,2009-09-01
26,610424.04567652,-1329406.55776584,"Forest",2008-09-01,2009-09-01
27,609759.3494819,-1331477.77959698,"Forest",2008-09-01,2009-09-01
28,610375.988871519,-1329636.7881669,"Forest",2008-09-01,2009-09-01
29,611150.68980022,-1331482.92150737,"Forest",2008-09-01,2009-09-01
30,610791.703946911,-1329868.73204355,"Forest",2008-09-01,2009-09-01
31,614950.018631242,-1325506.6182284,"Forest",2008-09-01,2009-09-01
32,611023.594191477,-1329869.59146851,"Forest",2008-09-01,2009-09-01
33,610839.768986099,-1329638.50206332,"Forest",2008-09-01,2009-09-01
34,610327.923868995,-1329867.01858652,"Forest",2008-09-01,2009-09-01
35,611198.812299772,-1331252.69204775,"Forest",2008-09-01,2009-09-01
36,609527.459924156,-1331476.92891152,"Forest",2008-09-01,2009-09-01
37,610918.799390346,-1331482.06002255,"Forest",2008-09-01,2009-09-01
38,611758.814054716,-1330793.96288976,"Forest",2008-09-01,2009-09-01
39,612686.37844151,-1330797.44384714,"Forest",2008-09-01,2009-09-01
40,611990.704940371,-1330794.83043066,"Forest",2008-09-01,2009-09-01
41,612454.487138915,-1330796.57090937,"Forest",2008-09-01,2009-09-01
42,612590.157807185,-1331257.90006769,"Forest",2008-09-01,2009-09-01
43,612358.266535139,-1331257.02756536,"Forest",2008-09-01,2009-09-01
44,612822.049233188,-1331258.77436969,"Forest",2008-09-01,2009-09-01
45,613102.055239269,-1331029.42278726,"Forest",2008-09-01,2009-09-01
46,612174.489791596,-1331025.92830799,"Forest",2009-09-01,2010-09-01
47,611526.923311082,-1330793.09714781,"Forest",2009-09-01,2010-09-01
48,611894.484419081,-1331255.28795953,"Forest",2009-09-01,2010-09-01
49,612126.375405869,-1331256.15686264,"Forest",2009-09-01,2010-09-01
50,612038.802898563,-1330564.60168122,"Forest",2009-09-01,2010-09-01
51,611806.911992868,-1330563.73392192,"Forest",2009-09-01,2010-09-01
52,613053.940791671,-1331259.65047128,"Forest",2009-09-01,2010-09-01
53,611710.707918766,-1331024.1918641,"Forest",2009-09-01,2010-09-01
54,612222.595968338,-1330795.69977053,"Forest",2009-09-01,2010-09-01
55,612638.272234606,-1331027.67194904,"Forest",2009-09-01,2010-09-01
56,612870.163670666,-1331028.54646851,"Forest",2009-09-01,2010-09-01
57,612078.252822394,-1331486.38544565,"Forest",2009-09-01,2010-09-01
58,611942.598784055,-1331025.0591864,"Forest",2009-09-01,2010-09-01
59,612310.14394141,-1331487.25593006,"Forest",2009-09-01,2010-09-01
60,612406.380941681,-1331026.79922886,"Forest",2009-09-01,2010-09-01
61,613005.818134142,-1331489.87818284,"Forest",2009-09-01,2010-09-01
62,612542.035192253,-1331488.12821436,"Forest",2009-09-01,2010-09-01
63,613237.709814891,-1331490.75586699,"Forest",2009-09-01,2010-09-01
64,611623.110960369,-1330332.63880346,"Forest",2009-09-01,2010-09-01
65,611575.021240142,-1330562.86796129,"Forest",2009-09-01,2010-09-01
66,611391.220318956,-1330331.77442257,"Forest",2009-09-01,2010-09-01
67,612773.926586103,-1331489.00229861,"Forest",2009-09-01,2010-09-01
68,615208.339588878,-1331006.35965421,"Forest",2009-09-01,2010-09-01
69,616962.535079655,-1331333.55198065,"Forest",2010-09-01,2011-09-01
70,616962.535079655,-1331333.55198065,"Forest",2010-09-01,2011-09-01
71,616962.535079655,-1331333.55198065,"Forest",2010-09-01,2011-09-01
72,616962.535079655,-1331333.55198065,"Forest",2010-09-01,2011-09-01
73,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
74,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
75,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
76,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
77,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
78,617638.512121538,-1330513.89053578,"Forest",2010-09-01,2011-09-01
79,617891.008068175,-1330461.48762268,"Forest",2010-09-01,2011-09-01
80,617891.008068175,-1330461.48762268,"Forest",2010-09-01,2011-09-01
81,617891.008068175,-1330461.48762268,"Forest",2010-09-01,2011-09-01
82,617891.008068175,-1330461.48762268,"Forest",2010-09-01,2011-09-01
83,617891.008068175,-1330461.48762268,"Forest",2010-09-01,2011-09-01
84,617900.551738543,-1330707.15167713,"Forest",2010-09-01,2011-09-01
85,617900.551738543,-1330707.15167713,"Forest",2010-09-01,2011-09-01
86,617900.551738543,-1330707.15167713,"Forest",2010-09-01,2011-09-01
87,615377.144055607,-1330846.8206012,"Forest",2010-09-01,2011-09-01
88,615377.144055607,-1330846.8206012,"Forest",2010-09-01,2011-09-01
89,615377.144055607,-1330846.8206012,"Forest",2010-09-01,2011-09-01
90,615377.144055607,-1330846.8206012,"Forest",2010-09-01,2011-09-01
91,615377.144055607,-1330846.8206012,"Forest",2010-09-01,2011-09-01
92,617891.008068175,-1330461.48762268,"Soybean-maize",2010-09-01,2011-09-01
93,615377.144055607,-1330846.8206012,"Soybean-maize",2010-09-01,2011-09-01
94,616962.535079655,-1331333.55198065,"Soybean-maize",2010-09-01,2011-09-01
95,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
96,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
97,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
98,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
99,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
100,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
101,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
102,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
103,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
104,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
105,615449.901326651,-1331060.68810021,"Soybean-maize",2010-09-01,2011-09-01
106,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
107,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
108,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
109,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
110,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
111,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
112,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
113,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
114,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
115,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
116,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
117,614996.997627167,-1331293.88771016,"Soybean-maize",2010-09-01,2011-09-01
118,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
119,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
120,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
121,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
122,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
123,617762.594169715,-1331037.66975026,"Soybean-maize",2010-09-01,2011-09-01
124,615208.339588878,-1331006.35965421,"Soybean-maize",2010-09-01,2011-09-01
125,615208.339588878,-1331006.35965421,"Soybean-maize",2010-09-01,2011-09-01
126,615208.339588878,-1331006.35965421,"Soybean-maize",2010-09-01,2011-09-01
127,615208.339588878,-1331006.35965421,"Soybean-maize",2010-09-01,2011-09-01
128,615208.339588878,-1331006.35965421,"Soybean-maize",2010-09-01,2011-09-01
129,617900.551738543,-1330707.15167713,"Soybean-maize",2010-09-01,2011-09-01
130,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
131,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
132,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
133,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
134,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
135,615407.153961943,-1331242.0717345,"Soybean-maize",2010-09-01,2011-09-01
136,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
137,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
138,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
139,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
140,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
141,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
142,617330.356834365,-1331356.35228784,"Soybean-maize",2010-09-01,2011-09-01
143,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
144,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
145,616962.535079655,-1331333.55198065,"Soybean-maize",2010-09-01,2011-09-01
146,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
147,617900.551738543,-1330707.15167713,"Soybean-maize",2010-09-01,2011-09-01
148,617900.551738543,-1330707.15167713,"Soybean-maize",2010-09-01,2011-09-01
149,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
150,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
151,615343.342810138,-1331434.05345335,"Soybean-maize",2010-09-01,2011-09-01
152,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
153,617782.860264281,-1331229.9789671,"Soybean-maize",2010-09-01,2011-09-01
154,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
155,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
156,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
157,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
158,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
159,615564.166931399,-1331413.54775289,"Soybean-maize",2010-09-01,2011-09-01
160,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
161,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
162,615242.549283129,-1330312.33534746,"Soybean-maize",2010-09-01,2011-09-01
163,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
164,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
165,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
166,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
167,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
168,615585.850660494,-1331242.76214456,"Soybean-maize",2010-09-01,2011-09-01
169,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
170,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
171,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
172,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
173,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
174,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
175,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
176,615283.197407597,-1330675.58902855,"Soybean-maize",2010-09-01,2011-09-01
177,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
178,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
179,617563.92139183,-1330769.90285467,"Soybean-maize",2010-09-01,2011-09-01
180,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
181,615125.520982838,-1330674.98163923,"Soybean-maize",2010-09-01,2011-09-01
182,615133.606500583,-1331305.09288331,"Soybean-maize",2010-09-01,2011-09-01
183,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
184,617426.219558975,-1331036.34674705,"Soybean-maize",2010-09-01,2011-09-01
185,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
186,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
187,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
188,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
189,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
190,615430.485778468,-1330644.11916068,"Soybean-maize",2010-09-01,2011-09-01
